plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
0,0.0,7.0,0.0,0.0,0.0,/videos/16589287,It Goes Unsaid,216.0,2010-11-07T17:28:53+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,IGU
0,0.0,2.0,0.0,0.0,0.0,/videos/11588116,Project Basho,129.0,2010-05-09T02:35:04+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,PB
0,0.0,2.0,0.0,0.0,0.0,/videos/11588056,A Day at the Plant,331.0,2010-05-09T02:28:43+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,ADP
0,0.0,2.0,0.0,0.0,0.0,/videos/11587726,Spike Lee with Talk Radio News,119.0,2010-05-09T02:03:33+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,TRN
0,0.0,2.0,0.0,0.0,0.0,/videos/11587706,Military Sexual Trauma,1610.0,2010-05-09T02:02:01+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,MST
0,0.0,2.0,0.0,0.0,0.0,/videos/11578516,Talk Radio News - Dennis Kucinich,381.0,2010-05-08T16:22:50+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,TRN
0,0.0,2.0,0.0,0.0,0.0,/videos/11577839,"Senegal: Sights, Sounds and Struggles",286.0,2010-05-08T15:44:57+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,SSS
0,0.0,2.0,0.0,0.0,0.0,/videos/11577487,The Algebra Project,86.0,2010-05-08T15:21:03+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,AP
0,0.0,4.0,0.0,0.0,0.0,/videos/11565555,MEET - Episode One - JORDAN 9AM,235.0,2010-05-07T22:11:34+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,MT
0,0.0,4.0,0.0,0.0,0.0,/videos/11565788,MEET - Episode Three - JORDAN 10AM,218.0,2010-05-07T22:22:54+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,MT
0,0.0,1.0,0.0,0.0,0.0,,0,0.0,0,0,0.0,0.0,,,,,None
0,0.0,2.0,0.0,0.0,0.0,,0,0.0,0,0,0.0,0.0,,,,,None
0,0.0,25.0,0.0,0.0,0.0,/videos/10225370,"Artspace Underground, February 2010",376.0,2010-03-17T04:45:04+00:00,Array,0.0,0.0,0.0,0.0,0.0,0.0,None
