"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
36,0,1359,0,US,"United States",39.7837304,-100.4458825,0,0,0,0,0,0
3,0,28,0,JP,Japan,36.5748441,139.2394179,0,0,0,0,0,0
3,0,168,0,ZZ,Unknown,0,0,0,0,0,0,0,0
2,0,78,0,AU,Australia,-24.7761086,134.755,0,0,0,0,0,0
2,0,1,0,KR,"Republic of Korea",35.3985008,127.937111,0,0,0,0,0,0
2,0,78,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
2,0,118,0,GB,"United Kingdom",54.7023545,-3.2765753,0,0,0,0,0,0
2,0,16,0,SE,Sweden,59.6749712,14.5208584,0,0,0,0,0,0
2,0,23,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
1,0,10,0,AE,"United Arab Emirates",24.0002488,53.9994829,0,0,0,0,0,0
1,0,12,0,MY,Malaysia,4.5693754,102.2656823,0,0,0,0,0,0
1,0,5,0,GR,Greece,39.000041,21.9999569,0,0,0,0,0,0
1,0,19,0,RO,Romania,45.9852129,24.6859225,0,0,0,0,0,0
1,0,3,0,VN,Vietnam,13.2904027,108.4265113,0,0,0,0,0,0
0,0,26,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
0,0,1,0,SY,Syria,34.6401861,39.0494106,0,0,0,0,0,0
0,0,3,0,SA,"Saudi Arabia",25.6242618,42.3528328,0,0,0,0,0,0
0,0,15,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
0,0,6,0,HK,"Hong Kong",0,0,0,0,0,0,0,0
0,0,1,0,PY,Paraguay,-23.3165935,-58.1693445,0,0,0,0,0,0
0,0,2,0,PT,Portugal,40.033265,-7.8896263,0,0,0,0,0,0
0,0,6,0,PL,Poland,52.0977181,19.0258159,0,0,0,0,0,0
0,0,2,0,PK,Pakistan,30.3308401,71.247499,0,0,0,0,0,0
0,0,24,0,PH,Philippines,12.7503486,122.7312101,0,0,0,0,0,0
0,0,1,0,PE,Peru,-6.8699697,-75.0458515,0,0,0,0,0,0
0,0,2,0,OM,Oman,21.0000287,57.0036901,0,0,0,0,0,0
0,0,3,0,NZ,"New Zealand",-41.5000831,172.8344077,0,0,0,0,0,0
0,0,8,0,NO,Norway,60.5000209,9.0999715,0,0,0,0,0,0
0,0,13,0,NL,Netherlands,52.5001698,5.7480821,0,0,0,0,0,0
0,0,10,0,EU,Europe,0,0,0,0,0,0,0,0
0,0,14,0,MX,Mexico,22.5000485,-100.0000375,0,0,0,0,0,0
0,0,1,0,LV,Latvia,56.8666904,24.5999717,0,0,0,0,0,0
0,0,16,0,ES,Spain,40.0028028,-4.003104,0,0,0,0,0,0
0,0,2,0,EG,Egypt,26.2540493,29.2675469,0,0,0,0,0,0
0,0,23,0,IT,Italy,42.6384261,12.674297,0,0,0,0,0,0
0,0,18,0,IR,Iran,32.9407496,52.9471344,0,0,0,0,0,0
0,0,5,0,TR,Turkey,38.9597594,34.9249653,0,0,0,0,0,0
0,0,3,0,ZA,"South Africa",-28.8166236,24.991639,0,0,0,0,0,0
0,0,5,0,HR,Croatia,45.5643442,17.0118954,0,0,0,0,0,0
0,0,1,0,ID,Indonesia,-4.7993356,114.5632032,0,0,0,0,0,0
0,0,5,0,HU,Hungary,47.1817585,19.5060937,0,0,0,0,0,0
0,0,2,0,UG,Uganda,1.5333554,32.2166578,0,0,0,0,0,0
0,0,1,0,SI,Slovenia,45.8133113,14.4808369,0,0,0,0,0,0
0,0,1,0,GU,Guam,13.5394645,144.8970036,0,0,0,0,0,0
0,0,1,0,IL,Israel,30.8760272,35.0015196,0,0,0,0,0,0
0,0,1,0,VE,Venezuela,8.0018709,-66.1109318,0,0,0,0,0,0
0,0,3,0,SK,Slovakia,48.7411522,19.4528646,0,0,0,0,0,0
0,0,5,0,FI,Finland,63.2467777,25.9209164,0,0,0,0,0,0
0,0,10,0,TH,Thailand,14.8971921,100.83273,0,0,0,0,0,0
0,0,0,22,XX,Unknown,0,0,0,0,0,0,0,0
0,0,6,0,DK,Denmark,55.670249,10.3333283,0,0,0,0,0,0
0,0,1,0,BZ,Belize,16.8259793,-88.7600927,0,0,0,0,0,0
0,0,6,0,CZ,"Czech Republic",49.8167003,15.4749544,0,0,0,0,0,0
0,0,1,0,CY,Cyprus,34.9823018,33.1451285,0,0,0,0,0,0
0,0,1,0,CS,Unknown,0,0,0,0,0,0,0,0
0,0,2,0,CM,Cameroon,4.6125522,13.1535811,0,0,0,0,0,0
0,0,2,0,CH,Switzerland,46.7985624,8.2319736,0,0,0,0,0,0
0,0,10,0,BE,Belgium,50.6407351,4.66696,0,0,0,0,0,0
0,0,6,0,IE,Ireland,52.865196,-7.9794599,0,0,0,0,0,0
0,0,22,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,6,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,4,0,AT,Austria,47.2000338,13.199959,0,0,0,0,0,0
0,0,6,0,AR,Argentina,-35.0039032,-65.2699754,0,0,0,0,0,0
"
",,,,,,,,,,,,,
