"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
38,0,1122,0,US,"United States",39.7837304,-100.4458825,0,0,0,0,0,0
3,0,21,0,GB,"United Kingdom",54.7023545,-3.2765753,0,0,0,0,0,0
3,0,10,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
2,0,12,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
2,0,7,0,MX,Mexico,22.5000485,-100.0000375,0,0,0,0,0,0
2,0,10,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
1,0,2,0,AT,Austria,47.2000338,13.199959,0,0,0,0,0,0
1,0,1,0,CH,Switzerland,46.7985624,8.2319736,0,0,0,0,0,0
1,0,3,0,GR,Greece,39.000041,21.9999569,0,0,0,0,0,0
1,0,6,0,RU,Russia,64.6863136,97.7453061,0,0,0,0,0,0
1,0,1,0,CL,Chile,-31.7613365,-71.3187697,0,0,0,0,0,0
1,0,1,0,KR,"Republic of Korea",35.3985008,127.937111,0,0,0,0,0,0
0,0,1,0,TW,Taiwan,23.9739374,120.9820179,0,0,0,0,0,0
0,0,42,0,TR,Turkey,38.9597594,34.9249653,0,0,0,0,0,0
0,0,2,0,RO,Romania,45.9852129,24.6859225,0,0,0,0,0,0
0,0,3,0,PT,Portugal,40.033265,-7.8896263,0,0,0,0,0,0
0,0,6,0,PL,Poland,52.0977181,19.0258159,0,0,0,0,0,0
0,0,5,0,PH,Philippines,12.7503486,122.7312101,0,0,0,0,0,0
0,0,3,0,NZ,"New Zealand",-41.5000831,172.8344077,0,0,0,0,0,0
0,0,3,0,NO,Norway,60.5000209,9.0999715,0,0,0,0,0,0
0,0,3,0,NL,Netherlands,52.5001698,5.7480821,0,0,0,0,0,0
0,0,2,0,MY,Malaysia,4.5693754,102.2656823,0,0,0,0,0,0
0,0,1,0,DO,"Dominican Republic",19.094175,-70.3012705,0,0,0,0,0,0
0,0,1,0,MA,Morocco,31.1728192,-7.3366043,0,0,0,0,0,0
0,0,1,0,LT,"Republic of Lithuania",55.3500003,23.7499998,0,0,0,0,0,0
0,0,1,0,BG,Bulgaria,42.6073975,25.4856617,0,0,0,0,0,0
0,0,3,0,RS,Serbia,44.1534121,20.55144,0,0,0,0,0,0
0,0,4,0,IT,Italy,42.6384261,12.674297,0,0,0,0,0,0
0,0,1,0,IN,India,22.3511148,78.6677428,0,0,0,0,0,0
0,0,3,0,IE,Ireland,52.865196,-7.9794599,0,0,0,0,0,0
0,0,1,0,UY,Uruguay,-32.8755548,-56.0201525,0,0,0,0,0,0
0,0,2,0,HR,Croatia,45.5643442,17.0118954,0,0,0,0,0,0
0,0,3,0,SA,"Saudi Arabia",25.6242618,42.3528328,0,0,0,0,0,0
0,0,8,0,SI,Slovenia,45.8133113,14.4808369,0,0,0,0,0,0
0,0,1,0,SK,Slovakia,48.7411522,19.4528646,0,0,0,0,0,0
0,0,3,0,UA,Ukraine,49.4871968,31.2718321,0,0,0,0,0,0
0,0,3,0,ES,Spain,40.0028028,-4.003104,0,0,0,0,0,0
0,0,3,0,ID,Indonesia,-4.7993356,114.5632032,0,0,0,0,0,0
0,0,2,0,CZ,"Czech Republic",49.8167003,15.4749544,0,0,0,0,0,0
0,0,3,0,CR,"Costa Rica",10.2735633,-84.0739102,0,0,0,0,0,0
0,0,1,0,CO,Colombia,2.8930783,-73.7845072,0,0,0,0,0,0
0,0,41,0,CN,China,35.000074,104.999927,0,0,0,0,0,0
0,0,6,0,HK,"Hong Kong",0,0,0,0,0,0,0,0
0,0,7,0,AU,Australia,-24.7761086,134.755,0,0,0,0,0,0
0,0,7,0,A2,"Satellite Provider",0,0,0,0,0,0,0,0
0,0,10,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,8,0,JP,Japan,36.5748441,139.2394179,0,0,0,0,0,0
0,0,3,0,BE,Belgium,50.6407351,4.66696,0,0,0,0,0,0
0,0,9,20,XX,Unknown,0,0,0,0,0,0,0,0
0,0,3,0,AR,Argentina,-35.0039032,-65.2699754,0,0,0,0,0,0
0,0,2,0,AE,"United Arab Emirates",24.0002488,53.9994829,0,0,0,0,0,0
"
",,,,,,,,,,,,,
